ADC1,ADC2,ADC3,ADC4,ADC5,ADC6,Counter,Timestamp
0,0,0,0,0,0,1,2025-03-31 15:49:51.564
0,0,0,0,0,0,2,2025-03-31 15:49:51.568
0,0,0,0,0,0,3,2025-03-31 15:49:51.572
0,0,0,0,0,0,4,2025-03-31 15:49:51.577
0,0,0,0,0,0,5,2025-03-31 15:49:51.581
0,0,0,0,0,0,6,2025-03-31 15:49:51.585
0,0,0,0,0,0,7,2025-03-31 15:49:51.589
0,0,0,0,0,0,8,2025-03-31 15:49:51.593
0,0,0,0,0,0,9,2025-03-31 15:49:51.597
0,0,0,0,0,0,10,2025-03-31 15:49:51.601
0,0,0,0,0,0,11,2025-03-31 15:49:51.605
0,0,0,0,0,0,12,2025-03-31 15:49:51.609
0,0,0,0,0,0,13,2025-03-31 15:49:51.613
0,0,0,0,0,0,14,2025-03-31 15:49:51.617
0,0,0,0,0,0,15,2025-03-31 15:49:51.621
0,0,0,0,0,0,16,2025-03-31 15:49:51.625
0,0,0,0,0,0,17,2025-03-31 15:49:51.629
0,0,0,0,0,0,18,2025-03-31 15:49:51.633
0,0,0,0,0,0,19,2025-03-31 15:49:51.637
0,0,0,0,0,0,20,2025-03-31 15:49:51.641
0,0,0,0,0,0,21,2025-03-31 15:49:51.645
0,0,0,0,0,0,22,2025-03-31 15:49:51.649
0,0,0,0,0,0,23,2025-03-31 15:49:51.653
0,0,0,0,0,0,24,2025-03-31 15:49:51.657
0,0,0,0,0,0,25,2025-03-31 15:49:51.661
0,0,0,0,0,0,26,2025-03-31 15:49:51.665
0,0,0,0,0,0,27,2025-03-31 15:49:51.669
0,0,0,0,0,0,28,2025-03-31 15:49:51.673
0,0,0,0,0,0,29,2025-03-31 15:49:51.677
0,0,0,0,0,0,30,2025-03-31 15:49:51.681
0,0,0,0,0,0,31,2025-03-31 15:49:51.686
0,0,0,0,0,0,32,2025-03-31 15:49:51.690
0,0,0,0,0,0,33,2025-03-31 15:49:51.694
0,0,0,0,0,0,34,2025-03-31 15:49:51.698
0,0,0,0,0,0,35,2025-03-31 15:49:51.702
0,0,0,0,0,0,36,2025-03-31 15:49:51.706
0,0,0,0,0,0,37,2025-03-31 15:49:51.710
